,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
96,03022019,bryant,manhattan,8-9,1,8,3,11,30,16,0,35,22,7,12,21,6,9,15,0,1,0.75,9,7,16,31,24,2,30,15,7,9,21,2,8,0.950,2019,1.0,0.0,Bryant,0.0,0.0
97,03092019,bryant, stony brook,8-9,1,8,4,12,38,24,0,30,11,7,16,20,3,9,15,0,1,0.824,9,6,15,38,24,1,23,12,8,4,20,5,16,0.900,2019,0.0,1.0,Stony Brook,0.0,107.95048969333601
98,03122019,bryant,fairfield,11-12 ,1,11,6,17,35,19,1,32,17,3,20,27,0,12,14,0,1,0.875,12,11,23,42,26,0,28,11,12,7,27,2,8,0.864,2019,1.0,0.0,Bryant,1.0,0.0
99,03162019,bryant, mount st marys,7-10,1,7,0,7,35,16,2,29,20,7,14,21,4,10,6,0,1,0.706,10,5,15,33,16,1,23,19,13,7,21,3,9,0.875,2019,0.0,1.0,Mount St Marys,0.0,
100,03232019,bryant,saint josephs,6-11,1,6,3,9,41,19,0,31,13,8,9,20,7,11,10,0,1,0.786,11,7,18,30,21,4,33,19,9,11,20,3,13,0.833,2019,1.0,0.0,Bryant,0.0,0.0
101,03302019,bryant, wagner,13-4,1,13,7,20,42,28,1,31,11,10,12,21,0,4,14,1,0,0.957,4,1,5,24,18,0,27,18,5,9,21,1,15,0.818,2019,0.0,1.0,Wagner,0.0,
102,04062019,bryant,sacred heart,8-11,1,8,6,14,34,19,1,27,14,7,12,23,3,11,13,0,1,0.889,11,7,18,41,24,2,25,14,5,11,23,1,11,0.815,2019,1.0,0.0,Bryant,0.0,0.0
103,04132019,bryant, hobart,11-12,1,11,6,17,38,18,0,24,14,7,10,24,1,12,15,0,1,0.833,12,9,21,49,27,1,25,13,4,14,24,1,7,1.000,2019,0.0,1.0,Hobart,0.0,674.9008579356761
104,04202019,bryant,robert morris,16-20,1,16,12,28,51,28,1,45,11,7,18,39,0,20,9,0,1,0.8,20,16,36,51,29,0,41,15,6,21,39,1,12,0.647,2019,1.0,0.0,Bryant,0.0,0.0
105,04232019,bryant,brown,7-17,1,7,4,11,22,13,1,23,22,6,13,28,1,17,12,0,1,0.619,17,13,30,46,29,0,43,16,11,15,28,3,6,0.875,2019,1.0,0.0,Bryant,0.0,0.0
106,02022019,bucknell, maryland,6-11,1,6,2,8,32,17,0,22,13,4,8,21,1,11,10,0,1,0.9,11,5,16,35,21,0,35,17,4,13,21,2,11,0.857,2019,0.0,1.0,Maryland,0.0,135.3370532968095
107,02102019,bucknell,bryant,9-6,1,9,6,15,45,25,0,35,15,12,13,19,4,6,13,1,0,0.909,6,2,8,27,19,1,32,27,4,6,19,3,16,0.769,2019,1.0,0.0,Bucknell,0.0,0.0
108,02162019,bucknell,richmond,11-13,1,11,5,16,34,20,1,35,18,10,16,28,2,13,14,0,1,0.875,13,7,20,37,27,1,32,15,7,12,28,3,9,0.857,2019,1.0,0.0,Bucknell,0.0,0.0
